# q/(2k_F),k_F critical
1.000000000000000021e-02,0.000000000000000000e+00
1.250250250250250356e-02,0.000000000000000000e+00
1.500500500500500517e-02,0.000000000000000000e+00
1.750750750750750678e-02,0.000000000000000000e+00
2.001001001001000840e-02,0.000000000000000000e+00
2.251251251251251001e-02,0.000000000000000000e+00
2.501501501501501509e-02,0.000000000000000000e+00
2.751751751751752018e-02,0.000000000000000000e+00
3.002002002002002179e-02,0.000000000000000000e+00
3.252252252252252340e-02,0.000000000000000000e+00
3.502502502502502502e-02,0.000000000000000000e+00
3.752752752752752663e-02,0.000000000000000000e+00
4.003003003003002824e-02,0.000000000000000000e+00
4.253253253253253680e-02,0.000000000000000000e+00
4.503503503503503841e-02,0.000000000000000000e+00
4.753753753753754002e-02,0.000000000000000000e+00
5.004004004004004164e-02,0.000000000000000000e+00
5.254254254254254325e-02,0.000000000000000000e+00
5.504504504504504486e-02,0.000000000000000000e+00
5.754754754754754648e-02,0.000000000000000000e+00
6.005005005005004809e-02,0.000000000000000000e+00
6.255255255255255664e-02,0.000000000000000000e+00
6.505505505505505826e-02,0.000000000000000000e+00
6.755755755755755987e-02,0.000000000000000000e+00
7.006006006006006148e-02,0.000000000000000000e+00
7.256256256256256310e-02,0.000000000000000000e+00
7.506506506506506471e-02,0.000000000000000000e+00
7.756756756756756632e-02,0.000000000000000000e+00
8.007007007007006794e-02,0.000000000000000000e+00
8.257257257257256955e-02,0.000000000000000000e+00
8.507507507507507116e-02,0.000000000000000000e+00
8.757757757757757278e-02,0.000000000000000000e+00
9.008008008008007439e-02,0.000000000000000000e+00
9.258258258258257600e-02,0.000000000000000000e+00
9.508508508508507762e-02,0.000000000000000000e+00
9.758758758758757923e-02,0.000000000000000000e+00
1.000900900900900808e-01,0.000000000000000000e+00
1.025925925925925825e-01,0.000000000000000000e+00
1.050950950950950841e-01,0.000000000000000000e+00
1.075975975975975857e-01,0.000000000000000000e+00
1.101001001001000873e-01,0.000000000000000000e+00
1.126026026026026028e-01,0.000000000000000000e+00
1.151051051051051044e-01,0.000000000000000000e+00
1.176076076076076060e-01,0.000000000000000000e+00
1.201101101101101076e-01,0.000000000000000000e+00
1.226126126126126092e-01,0.000000000000000000e+00
1.251151151151151109e-01,0.000000000000000000e+00
1.276176176176176125e-01,0.000000000000000000e+00
1.301201201201201141e-01,0.000000000000000000e+00
1.326226226226226157e-01,0.000000000000000000e+00
1.351251251251251451e-01,0.000000000000000000e+00
1.376276276276276467e-01,0.000000000000000000e+00
1.401301301301301483e-01,0.000000000000000000e+00
1.426326326326326499e-01,0.000000000000000000e+00
1.451351351351351515e-01,0.000000000000000000e+00
1.476376376376376531e-01,0.000000000000000000e+00
1.501401401401401547e-01,0.000000000000000000e+00
1.526426426426426564e-01,0.000000000000000000e+00
1.551451451451451580e-01,0.000000000000000000e+00
1.576476476476476596e-01,0.000000000000000000e+00
1.601501501501501612e-01,0.000000000000000000e+00
1.626526526526526628e-01,0.000000000000000000e+00
1.651551551551551644e-01,0.000000000000000000e+00
1.676576576576576660e-01,0.000000000000000000e+00
1.701601601601601677e-01,0.000000000000000000e+00
1.726626626626626693e-01,0.000000000000000000e+00
1.751651651651651709e-01,0.000000000000000000e+00
1.776676676676676725e-01,0.000000000000000000e+00
1.801701701701701741e-01,0.000000000000000000e+00
1.826726726726726757e-01,0.000000000000000000e+00
1.851751751751751773e-01,0.000000000000000000e+00
1.876776776776776789e-01,0.000000000000000000e+00
1.901801801801801806e-01,0.000000000000000000e+00
1.926826826826826822e-01,0.000000000000000000e+00
1.951851851851851838e-01,0.000000000000000000e+00
1.976876876876876854e-01,0.000000000000000000e+00
2.001901901901901870e-01,0.000000000000000000e+00
2.026926926926926886e-01,0.000000000000000000e+00
2.051951951951951902e-01,0.000000000000000000e+00
2.076976976976976919e-01,0.000000000000000000e+00
2.102002002002001935e-01,0.000000000000000000e+00
